,MD,mf1,mf2,mH,mA,mE1,mE2,mu->e gamma,alfa,delta,y1,rho1,eta2,eta3,f2,f3,f1,rho2,rho3,k,I1,I2,mu,Rmuv
69,1432.41762033,1431.52002883,2221.92704647,924.424669123,932.331355662,933.685904208,1430.77663198,4.30215421277e-22,0.0337051453012,0.00251562844957,0.000279459702163,0.000160969143957,-0.00138657068187,-0.00170436080885,-0.000560548638416,-0.000240255501478,-0.000155378164623,0.00017556261098,0.00881416422422,1.84920764666e-05,0.366684620992,0.251755604757,16.9977976774,0.069096738526
99,1220.67073544,1216.99300715,1848.99909434,978.829489746,988.652356317,978.914476409,1216.73399059,2.13196594913e-22,-0.0763574285795,0.00401656312834,0.000146072667381,0.000789687526975,-0.000724755935991,-0.000890863790381,0.000499800990512,0.000214218587622,0.000138539557963,0.00136405096965,0.00161634590221,-3.96782127899e-05,0.201734007655,0.143871682128,12.057023668,0.0490122913334
107,806.695780737,805.582601694,1488.18793061,717.061270389,720.515033485,724.897429066,804.804076724,2.27764741178e-18,-0.0403938998187,0.00490081110677,0.000241233286589,0.000504509097522,-0.00119690603006,-0.00147122664295,0.00105980467967,0.000454240519614,0.000293766668405,0.106671062944,0.092954178958,-1.13306573922e-05,0.100859176518,0.0606769953828,3.44374119426,0.0139989479441
160,884.10056474,877.785581228,1387.99182613,585.859933401,590.333964123,587.064611504,876.867830908,1.03281333919e-15,-0.111484173701,0.00291495847575,0.000146593106958,0.000498377100362,-0.000727338155374,-0.000894037832335,0.000460616093824,0.000197423636463,0.000127677918292,0.542907231072,0.00579708358,-4.29008124497e-05,0.347855123781,0.235133144911,7.10941791397,0.028900072821
168,1294.96919231,1294.91660783,1780.82696949,959.047919332,963.874862665,962.699331068,1294.64873507,6.48593686595e-16,0.0104029995196,-0.00710881706222,0.000273302226787,0.0121252977676,-0.00135601967661,-0.0016668077748,0.00100639179393,0.000431347341806,0.000278961180379,0.00145607789817,0.000506429890972,-1.05319288711e-05,0.26712752944,0.206869809921,-30.6219624681,-0.124479522228
187,1066.62696204,1065.31158178,1329.63277446,891.802216446,898.551940173,900.827139804,1064.75015667,4.75821683751e-18,-0.0706025739835,-0.00208562033886,0.000265156956254,0.175808590639,-0.00131560600255,-0.0016171316327,-0.00124449406866,-0.000533399826635,-0.00034496061719,0.000219400765601,0.000251262817471,8.77854052455e-06,0.157824235716,0.133553892801,-3.86317115933,-0.0157039478022
238,616.904640649,616.83979482,655.348995911,552.508182831,555.545310181,554.633813096,616.532146241,7.45238649855e-18,0.0410469346472,-0.0132654337394,0.000101550203136,0.00100647535327,-0.000503852731958,-0.000619331463594,0.00727031350814,0.00311611285461,0.00201525414873,0.142948844956,0.496246825319,-3.92359560354e-06,0.102038630947,0.097781175055,-5.52774232324,-0.0224704972489
291,682.071691811,682.041314432,707.592724934,551.25530603,557.184123161,558.164904572,681.877886723,2.20380718454e-17,0.0344868718722,0.00245420288006,0.000527633497493,0.00991695887033,-0.00261791282512,-0.00321791602726,-0.00773723569575,-0.00331623933186,-0.00214468004964,0.000246902419682,0.0554655447279,7.09577748719e-07,0.186840390715,0.181966006114,2.16441510523,0.00879843538713
337,1331.97997516,1320.36642268,1839.20054476,865.150275561,867.507637586,870.762302258,1319.76272689,3.09994365646e-15,0.150176488807,3.63667967793e-05,0.00021687372156,0.254388731061,-0.00107604331378,-0.00132266322706,-0.0142213803576,-0.00609539411098,-0.00394201649408,0.000790822832752,0.00110046135947,9.39224667995e-07,0.358727540563,0.272521384915,0.20562689213,0.000835881675327
346,1079.86794264,1078.27628,1123.10504303,788.912642758,794.747412185,794.605318539,1077.47795172,8.92623850398e-16,-0.189561976158,0.000435568405769,0.000265382104328,0.00679729375641,-0.00131672309999,-0.00161850475931,0.00685689143416,0.00293891694171,0.00190065791449,0.0815560310863,0.0371475667792,-1.59191277418e-06,0.273660338247,0.265514111832,1.32602680019,0.00539035284632
